reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
96bb28d4-e572-41c5-85d4-333f0e07b14e,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,top dah,5,0,,2026-04-20 03:04:56,,,
c998ee25-2c8c-4a76-8ea3-b2e58feae9c3,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,mantrab,5,0,,2026-04-20 03:03:26,,,
86936d9a-2604-4695-816d-f2a4703f468c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,terima kasih,5,0,5.55.2,2026-04-20 02:58:01,,,5.55.2
1f6586fb-2a85-47bb-a081-e546cccb46a6,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,saya pengguna setia gojek...cm akhir2 ini setiap pesen gojek searching driver selalu lama dan dpt driver yg jauh....pdhl d sekitar saya byk driver yg dekat...jd waktu saya aga terbuang percuma.... mohon diperhatikan.... terimakasih.... tambah lg skrg kl pesan gofood dpt driver nya jg lama bgt menghabiskan waktu makan siang saya,3,0,5.49.1,2026-04-20 02:56:39,"Mohon maaf atas kendalanya Kak Indra. Kesulitan mendapatkan driver bisa terjadi karena meningkatnya jumlah pengantaran di jam sibuk, atau tidak ada driver di dekat titik penjemputan. Mohon menunggu beberapa saat dan coba kembali, ya. Jika ada pertanyaan lain, silakan kunjungi menu Bantuan pada aplikasi Gojek-mu, ya. ^Mita",2026-04-20 03:35:36,5.49.1
c4b7fe88-ba06-4200-9881-d4a600de7774,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,drivernya gercep. titik lokasi cocok. promonya mantap,5,0,5.56.2,2026-04-20 02:47:26,,,5.56.2
350c63cc-e6ef-4691-be61-96115fb023e1,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,langganan setia,5,0,5.55.2,2026-04-20 02:47:09,,,5.55.2
a2f8a212-70ce-4c86-baf8-868c8e5f9d9c,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,💓💓,5,0,5.56.2,2026-04-20 02:38:21,,,5.56.2
4a4d30a7-89d5-4375-8bbf-a5e98adb1158,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"suka, aku anak sekolah jadi suka pake harga 7rb, walaupun harga nya 7rb tapi tetap profesional",5,0,5.56.2,2026-04-20 02:22:31,,,5.56.2
e3d1560a-6ea6-462b-b385-1d5032c80420,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,alhamdulillah cepat dan ramah 👍,5,0,5.56.2,2026-04-20 02:12:49,,,5.56.2
6b40ae3d-267e-4353-acac-a7032fb016c5,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,option pilihan layanan nya sangat membantu,5,0,5.54.1,2026-04-20 01:56:19,,,5.54.1
